date,desk1,desk2,desk1_ir,desk2_eq,desk2_fx,desk2_cr
2025-01-02,-42992.00,-9946.96,-42992.00,-18221.29,9328.65,-1054.32
2025-01-03,-22480.15,-8496.71,-22480.15,-1124.66,1701.34,-9073.39
2025-01-06,-49605.71,-34268.73,-49605.71,-16914.96,-18209.39,855.62
2025-01-07,-24110.85,-60065.75,-24110.85,-78797.31,11514.39,7217.17
2025-01-08,-61833.85,-87701.57,-61833.85,-66519.42,-12448.53,-8733.62
2025-01-09,-38678.72,-32122.38,-38678.72,-5772.16,-24591.62,-1758.60
2025-01-10,21440.91,-73027.09,21440.91,-69096.49,9348.79,-13279.39
2025-01-13,2047.63,32644.29,2047.63,45219.69,-16628.37,4052.97
2025-01-14,-10101.45,87677.54,-10101.45,109408.04,-28143.81,6413.31
2025-01-15,-4915.02,-24946.85,-4915.02,-7741.58,2969.92,-20175.19
2025-01-16,-22026.14,-9267.91,-22026.14,-30796.00,15042.08,6486.01
2025-01-17,-214.03,-77050.11,-214.03,-77185.69,-12865.66,13001.24
2025-01-20,14242.85,-55057.39,14242.85,-82651.42,16116.10,11477.93
2025-01-21,-24765.83,-38008.46,-24765.83,2992.45,-34417.08,-6583.83
2025-01-22,-18591.14,38209.46,-18591.14,35221.14,-2974.15,5962.47
2025-01-23,11234.46,34276.24,11234.46,-6221.80,21412.13,19085.91
2025-01-24,10934.04,41184.16,10934.04,12578.40,1806.18,26799.58
2025-01-27,93470.75,-69605.05,93470.75,-37476.29,-24482.65,-7646.11
2025-01-28,78630.03,-30754.01,78630.03,3470.50,-40351.38,6126.87
2025-01-29,26504.95,-4430.18,26504.95,245.54,-6453.12,1777.40
2025-01-30,-11719.35,-52468.44,-11719.35,-33319.65,7535.08,-26683.87
2025-01-31,-9231.71,-9214.32,-9231.71,10744.51,-9216.51,-10742.32
2025-02-03,69389.50,-56846.10,69389.50,-23194.28,-21927.14,-11724.68
2025-02-04,1347.08,-87033.05,1347.08,-47797.98,-25638.87,-13596.20
2025-02-05,-49067.45,36141.61,-49067.45,46200.86,7815.81,-17875.06
2025-02-06,-31788.81,108341.90,-31788.81,80167.76,17269.46,10904.68
2025-02-07,-7845.35,-33879.90,-7845.35,-51570.83,11598.24,6092.69
2025-02-10,45901.44,22291.38,45901.44,-10103.06,9549.43,22845.01
2025-02-11,10947.00,-40414.86,10947.00,-33550.82,-4916.84,-1947.20
2025-02-12,-27547.50,29386.68,-27547.50,2931.31,25169.05,1286.32
2025-02-13,25196.29,12385.45,25196.29,-278.46,3257.62,9406.29
2025-02-14,-30683.20,-25666.47,-30683.20,-5672.39,-21033.43,1039.35
2025-02-17,-23337.66,28157.82,-23337.66,43269.11,4996.65,-20107.94
2025-02-18,3368.60,-21828.74,3368.60,-1533.24,-7479.99,-12815.51
2025-02-19,143306.59,2790.69,143306.59,-6950.76,4698.70,5042.75
2025-02-20,17125.17,26369.84,17125.17,-17957.44,26326.31,18000.97
2025-02-21,56460.54,-76159.45,56460.54,-38626.59,-33865.28,-3667.58
2025-02-24,30233.71,-13048.17,30233.71,14442.57,5245.70,-32736.44
2025-02-25,-2377.44,91797.47,-2377.44,73861.28,41721.41,-23785.22
2025-02-26,-32598.74,34660.81,-32598.74,23760.60,-15139.61,26039.82
2025-02-27,1719.93,-10209.45,1719.93,-26574.30,19735.96,-3371.11
2025-02-28,-105505.49,25058.92,-105505.49,23881.87,-6717.28,7894.33
2025-03-03,-6793.80,133161.69,-6793.80,106069.92,31568.08,-4476.31
2025-03-04,-70099.91,-58294.43,-70099.91,-32566.05,-5331.83,-20396.55
2025-03-05,-48044.87,11813.43,-48044.87,13597.07,7822.92,-9606.56
2025-03-06,38896.50,50625.40,38896.50,-3598.13,36545.77,17677.76
2025-03-07,26684.35,-8017.51,26684.35,-39072.10,27368.74,3685.85
2025-03-10,26872.78,-10872.69,26872.78,62550.24,-53797.44,-19625.49
2025-03-11,29735.01,12656.59,29735.01,-29533.71,34772.37,7417.93
2025-03-12,-56885.92,-60689.40,-56885.92,-30456.48,-32998.88,2765.96
2025-03-13,80858.25,49578.17,80858.25,42851.54,658.28,6068.35
2025-03-14,16133.37,-16542.95,16133.37,-49082.75,26490.10,6049.70
2025-03-17,-77635.81,46621.71,-77635.81,10958.43,34145.88,1517.40
2025-03-18,-26275.97,3147.11,-26275.97,13692.77,3622.93,-14168.59
2025-03-19,22202.73,7353.11,22202.73,-8927.82,7434.44,8846.49
2025-03-20,34092.17,47700.27,34092.17,34674.67,5321.60,7704.00
2025-03-21,-63684.15,35044.43,-63684.15,-148.95,60025.26,-24831.88
2025-03-24,12271.93,-1817.34,12271.93,-33199.67,31321.61,60.72
2025-03-25,29777.14,15680.68,29777.14,25164.00,8197.17,-17680.49
2025-03-26,24824.70,51335.19,24824.70,52110.71,-4680.31,3904.79
2025-03-27,53822.55,51982.13,53822.55,59702.62,-5377.56,-2342.93
2025-03-28,-9275.12,7494.18,-9275.12,10346.50,-2940.52,88.20
2025-03-31,-10614.16,56350.67,-10614.16,51342.21,7115.46,-2107.00
2025-04-01,38817.30,-922.43,38817.30,12170.65,-4484.29,-8608.79
2025-04-02,-30097.99,10143.14,-30097.99,25465.57,9249.23,-24571.66
2025-04-03,-21906.74,68676.96,-21906.74,27080.62,40339.78,1256.56
2025-04-04,14788.49,17643.83,14788.49,-41447.09,40046.01,19044.91
2025-04-07,41892.69,-29431.91,41892.69,-15128.07,-18703.19,4399.35
2025-04-08,17933.90,5210.98,17933.90,27765.10,2156.61,-24710.73
2025-04-09,21728.01,2557.30,21728.01,11951.92,-11926.81,2532.19
2025-04-10,-2099.25,13795.63,-2099.25,13911.90,817.59,-933.86
2025-04-11,-39661.15,-42523.99,-39661.15,-22761.34,-10357.09,-9405.56
2025-04-14,10655.38,13545.76,10655.38,17340.80,-2303.02,-1492.02
2025-04-15,79278.49,-36090.74,79278.49,-5211.84,-8491.57,-22387.33
2025-04-16,8183.59,50933.26,8183.59,32978.31,-15758.97,33713.92
2025-04-17,19023.53,-48008.45,19023.53,-62434.57,11475.35,2950.77
2025-04-18,-29466.93,-39974.52,-29466.93,-45972.88,712.40,5285.96
2025-04-21,-64968.12,60008.20,-64968.12,41938.62,13632.40,4437.18
2025-04-22,18589.43,45490.86,18589.43,61637.27,-21007.27,4860.86
2025-04-23,-37659.65,-35156.32,-37659.65,-4592.63,-26707.04,-3856.65
2025-04-24,10967.57,-28976.47,10967.57,-17004.07,3180.37,-15152.77
2025-04-25,25429.56,-43163.65,25429.56,-47553.74,18020.54,-13630.45
2025-04-28,9030.27,18120.55,9030.27,18265.58,10780.36,-10925.39
2025-04-29,-33701.22,5176.20,-33701.22,36940.30,-28080.94,-3683.16
2025-04-30,-59460.69,-24062.33,-59460.69,-22039.35,-1996.69,-26.29
2025-05-01,-86545.54,-29823.13,-86545.54,-41946.75,3520.09,8603.53
2025-05-02,7064.20,-43238.56,7064.20,-11931.16,-21220.10,-10087.30
2025-05-05,-41844.01,81631.75,-41844.01,53370.73,17366.05,10894.97
2025-05-06,78837.89,22410.91,78837.89,386.36,34126.07,-12101.52
2025-05-07,38247.99,-148133.65,38247.99,-108228.32,-25102.03,-14803.30
2025-05-08,34063.72,-48432.21,34063.72,-8096.59,-33476.66,-6858.96
2025-05-09,-226.43,70463.62,-226.43,44205.61,15954.51,10303.50
2025-05-12,-32818.78,-26242.57,-32818.78,9028.33,-16865.92,-18404.98
2025-05-13,-3131.03,-1872.30,-3131.03,-10050.13,22400.01,-14222.18
2025-05-14,47172.72,80.33,47172.72,2122.45,-1993.79,-48.33
2025-05-15,-48367.65,-76912.69,-48367.65,-30988.56,-39249.10,-6675.03
2025-05-16,8230.14,69606.25,8230.14,78432.23,-8852.80,26.82
2025-05-19,55542.60,13047.50,55542.60,-14852.27,7729.36,20170.41
2025-05-20,13213.10,88402.28,13213.10,119883.66,-31114.56,-366.82
2025-05-21,21096.71,82262.49,21096.71,84394.68,5787.37,-7919.56
2025-05-22,-147055.64,32554.13,-147055.64,8503.67,4068.49,19981.97
2025-05-23,-22295.73,-38416.94,-22295.73,-22946.15,-30401.62,14930.83
