date,desk1,desk2
2025-01-02,-42049.11,-28795.91
2025-01-03,-26702.17,-36604.41
2025-01-06,-49173.17,-56713.30
2025-01-07,-20814.55,-69311.96
2025-01-08,-61347.66,-86713.90
2025-01-09,-40699.33,15418.45
2025-01-10,33652.95,-105507.18
2025-01-13,7383.31,56731.08
2025-01-14,-12391.03,80423.27
2025-01-15,-4840.86,-8645.57
2025-01-16,-15574.68,51792.41
2025-01-17,-3584.73,-64811.80
2025-01-20,19219.96,2855.34
2025-01-21,-25725.94,-63056.63
2025-01-22,-19896.57,15418.16
2025-01-23,12578.02,27757.38
2025-01-24,14853.61,92266.53
2025-01-27,97167.74,-49854.49
2025-01-28,82157.56,-70414.87
2025-01-29,26899.09,-62652.31
2025-01-30,-14366.51,-99210.38
2025-01-31,-4242.18,36193.31
2025-02-03,68165.36,-72605.34
2025-02-04,3065.21,-113605.42
2025-02-05,-50998.01,-27667.68
2025-02-06,-27713.55,92198.43
2025-02-07,-5028.64,-27139.94
2025-02-10,41121.23,-23191.17
2025-02-11,11268.96,-52848.94
2025-02-12,-19897.91,53345.61
2025-02-13,26271.97,-16793.48
2025-02-14,-35680.21,32478.00
2025-02-17,-26500.01,18033.18
2025-02-18,10912.94,40425.41
2025-02-19,139709.20,28380.64
2025-02-20,17907.44,41841.11
2025-02-21,60429.56,-54953.47
2025-02-24,25215.83,55381.59
2025-02-25,1657.48,88816.77
2025-02-26,-30323.62,6191.88
2025-02-27,6419.83,-55172.18
2025-02-28,-97834.59,-20803.45
2025-03-03,-8849.92,152616.42
2025-03-04,-74110.09,-105783.92
2025-03-05,-44059.98,46392.80
2025-03-06,36006.51,69220.26
2025-03-07,23776.71,-23786.71
2025-03-10,24941.35,-4344.17
2025-03-11,30710.59,2529.26
2025-03-12,-52349.21,-65804.60
2025-03-13,84235.06,61525.57
2025-03-14,25472.18,-13648.43
2025-03-17,-72170.62,68734.30
2025-03-18,-34397.05,22628.06
2025-03-19,19925.94,16032.16
2025-03-20,29903.67,118303.82
2025-03-21,-64156.38,52119.65
2025-03-24,11736.25,28766.04
2025-03-25,29090.98,33215.02
2025-03-26,20958.94,32781.05
2025-03-27,52359.43,-9754.78
2025-03-28,-5364.65,-27242.03
2025-03-31,-14151.91,94110.90
2025-04-01,42336.36,-42069.10
2025-04-02,-33378.70,48626.40
2025-04-03,-23157.22,95799.10
2025-04-04,8488.17,25941.54
2025-04-07,38485.36,-6984.60
2025-04-08,18008.05,21835.20
2025-04-09,23314.50,-23365.83
2025-04-10,2803.54,-20884.42
2025-04-11,-36195.25,-41664.77
2025-04-14,15643.23,21608.45
2025-04-15,73196.83,-59658.62
2025-04-16,11397.26,64952.87
2025-04-17,19771.23,-44709.97
2025-04-18,-32562.98,2367.54
2025-04-21,-63964.67,108799.52
2025-04-22,24710.53,-19444.74
2025-04-23,-37930.96,-11291.02
2025-04-24,13229.04,-47239.30
2025-04-25,23957.07,-67187.53
2025-04-28,12177.73,30147.08
2025-04-29,-34399.84,-6963.07
2025-04-30,-59140.17,-53714.94
2025-05-01,-81604.84,-33371.15
2025-05-02,8832.16,-53647.96
2025-05-05,-42077.94,99296.31
2025-05-06,77231.33,38773.98
2025-05-07,41227.26,-152156.93
2025-05-08,37603.78,-86960.59
2025-05-09,-1165.48,44968.60
2025-05-12,-35459.25,-35365.03
2025-05-13,-5646.30,-50262.42
2025-05-14,46942.17,23110.09
2025-05-15,-46653.98,-55138.42
2025-05-16,9561.72,54898.17
2025-05-19,52503.77,4780.83
2025-05-20,13306.04,118161.44
2025-05-21,22103.42,125571.09
2025-05-22,-146496.85,77970.59
2025-05-23,-18700.12,-45440.05
2025-05-26,19763.94,71133.59
2025-05-27,-39560.12,-13616.07
2025-05-28,21056.53,-69347.09
2025-05-29,32887.66,84050.46
2025-05-30,76487.76,-145355.03
2025-06-02,24393.04,15613.22
2025-06-03,-11474.87,21204.69
2025-06-04,-33407.87,87066.34
2025-06-05,57918.55,32044.07
2025-06-06,-69215.33,-108704.03
2025-06-09,-15429.25,-39004.45
2025-06-10,18360.34,-12195.53
2025-06-11,42461.04,-4136.14
2025-06-12,-16024.29,-58848.46
2025-06-13,-1224.07,-27393.46
2025-06-16,-21815.76,-65179.18
2025-06-17,-9788.32,-106838.35
2025-06-18,-43708.29,-132608.20
2025-06-19,64653.62,16786.39
2025-06-20,23054.91,-24641.81
2025-06-23,-23220.52,55852.11
2025-06-24,54189.42,-73032.29
2025-06-25,22843.05,-19033.93
2025-06-26,63636.91,-25446.06
2025-06-27,29087.17,41231.25
2025-06-30,71005.70,-89460.46
2025-07-01,-46986.06,27255.24
2025-07-02,-31741.98,-115589.39
2025-07-03,-63043.38,-48536.80
2025-07-04,-20786.37,6465.35
2025-07-07,14377.19,-11687.61
2025-07-08,-50206.99,52485.60
2025-07-09,-37422.68,51050.45
2025-07-10,2018.59,24744.04
2025-07-11,-52676.08,5222.86
2025-07-14,44027.66,-15821.91
2025-07-15,-16042.06,-14653.84
2025-07-16,-18755.19,42850.37
2025-07-17,7198.79,193132.25
2025-07-18,-16343.87,-44021.99
2025-07-21,29721.44,-46405.04
2025-07-22,42705.35,13987.58
2025-07-23,-5023.73,-1227.45
2025-07-24,68625.15,-86041.89
2025-07-25,-45978.43,-19995.54
