date,desk1,desk2
2025-01-02,123935.04,123465.48
2025-01-03,125878.25,123336.74
2025-01-06,127800.17,122953.04
2025-01-07,129679.74,122321.82
2025-01-08,131496.37,121455.40
2025-01-09,133230.16,120370.61
2025-01-10,134862.11,119088.60
2025-01-13,136374.34,117634.29
2025-01-14,137750.29,116036.01
2025-01-15,138974.87,114324.85
2025-01-16,140034.67,112534.13
2025-01-17,140918.08,110698.70
2025-01-20,141615.42,108854.29
2025-01-21,142119.05,107036.79
2025-01-22,142423.45,105281.58
2025-01-23,142525.29,103622.82
2025-01-24,142423.45,102092.79
2025-01-27,142119.05,100721.29
2025-01-28,141615.42,99535.00
2025-01-29,140918.08,98557.02
2025-01-30,140034.67,97806.37
2025-01-31,138974.87,97297.67
2025-02-03,137750.29,97040.82
2025-02-04,136374.34,97040.82
2025-02-05,134862.11,97297.67
2025-02-06,133230.16,97806.37
2025-02-07,131496.37,98557.02
2025-02-10,129679.74,99535.00
2025-02-11,127800.17,100721.29
2025-02-12,125878.25,102092.79
2025-02-13,123935.04,103622.82
2025-02-14,121991.83,105281.58
2025-02-17,120069.90,107036.79
2025-02-18,118190.33,108854.29
2025-02-19,116373.70,110698.70
2025-02-20,114639.91,112534.13
2025-02-21,113007.96,114324.85
2025-02-24,111495.73,116036.01
2025-02-25,110119.78,117634.29
2025-02-26,108895.20,119088.60
2025-02-27,107835.40,120370.61
2025-02-28,106951.99,121455.40
2025-03-03,106254.65,122321.82
2025-03-04,105751.02,122953.04
2025-03-05,105446.62,123336.74
2025-03-06,105344.78,123465.48
2025-03-07,105446.62,123336.74
2025-03-10,105751.02,122953.04
2025-03-11,106254.65,122321.82
2025-03-12,106951.99,121455.40
2025-03-13,107835.40,120370.61
2025-03-14,108895.20,119088.60
2025-03-17,110119.78,117634.29
2025-03-18,111495.73,116036.01
2025-03-19,113007.96,114324.85
2025-03-20,114639.91,112534.13
2025-03-21,116373.70,110698.70
2025-03-24,118190.33,108854.29
2025-03-25,120069.90,107036.79
2025-03-26,121991.83,105281.58
2025-03-27,123935.04,103622.82
2025-03-28,125878.25,102092.79
2025-03-31,127800.17,100721.29
2025-04-01,129679.74,99535.00
2025-04-02,131496.37,98557.02
2025-04-03,133230.16,97806.37
2025-04-04,134862.11,97297.67
2025-04-07,136374.34,97040.82
2025-04-08,137750.29,97040.82
2025-04-09,138974.87,97297.67
2025-04-10,140034.67,97806.37
2025-04-11,140918.08,98557.02
2025-04-14,141615.42,99535.00
2025-04-15,142119.05,100721.29
2025-04-16,142423.45,102092.79
2025-04-17,142525.29,103622.82
2025-04-18,142423.45,105281.58
2025-04-21,142119.05,107036.79
2025-04-22,141615.42,108854.29
2025-04-23,140918.08,110698.70
2025-04-24,140034.67,112534.13
2025-04-25,138974.87,114324.85
2025-04-28,137750.29,116036.01
2025-04-29,136374.34,117634.29
2025-04-30,134862.11,119088.60
2025-05-01,133230.16,120370.61
2025-05-02,131496.37,121455.40
2025-05-05,129679.74,122321.82
2025-05-06,127800.17,122953.04
2025-05-07,125878.25,123336.74
2025-05-08,123935.04,123465.48
2025-05-09,121991.83,123336.74
2025-05-12,120069.90,122953.04
2025-05-13,118190.33,122321.82
2025-05-14,116373.70,121455.40
2025-05-15,114639.91,120370.61
2025-05-16,113007.96,119088.60
2025-05-19,111495.73,117634.29
2025-05-20,110119.78,116036.01
2025-05-21,108895.20,114324.85
2025-05-22,107835.40,112534.13
2025-05-23,106951.99,110698.70
2025-05-26,106254.65,108854.29
2025-05-27,105751.02,107036.79
2025-05-28,105446.62,105281.58
2025-05-29,105344.78,103622.82
2025-05-30,105446.62,102092.79
2025-06-02,105751.02,100721.29
2025-06-03,106254.65,99535.00
2025-06-04,106951.99,98557.02
2025-06-05,107835.40,97806.37
2025-06-06,108895.20,97297.67
2025-06-09,110119.78,97040.82
2025-06-10,111495.73,97040.82
2025-06-11,113007.96,97297.67
2025-06-12,114639.91,97806.37
2025-06-13,116373.70,98557.02
2025-06-16,118190.33,99535.00
2025-06-17,120069.90,100721.29
2025-06-18,121991.83,102092.79
2025-06-19,123935.04,103622.82
2025-06-20,125878.25,105281.58
2025-06-23,127800.17,107036.79
2025-06-24,129679.74,108854.29
2025-06-25,131496.37,110698.70
2025-06-26,133230.16,112534.13
2025-06-27,134862.11,114324.85
2025-06-30,136374.34,116036.01
2025-07-01,137750.29,117634.29
2025-07-02,138974.87,119088.60
2025-07-03,140034.67,120370.61
2025-07-04,140918.08,121455.40
2025-07-07,141615.42,122321.82
2025-07-08,142119.05,122953.04
2025-07-09,142423.45,123336.74
2025-07-10,142525.29,123465.48
2025-07-11,142423.45,123336.74
2025-07-14,142119.05,122953.04
2025-07-15,141615.42,122321.82
2025-07-16,140918.08,121455.40
2025-07-17,140034.67,120370.61
2025-07-18,138974.87,119088.60
2025-07-21,137750.29,117634.29
2025-07-22,136374.34,116036.01
2025-07-23,134862.11,114324.85
2025-07-24,133230.16,112534.13
2025-07-25,131496.37,110698.70
2025-07-28,129679.74,108854.29
2025-07-29,127800.17,107036.79
2025-07-30,125878.25,105281.58
2025-07-31,123935.04,103622.82
2025-08-01,121991.83,102092.79
2025-08-04,120069.90,100721.29
2025-08-05,118190.33,99535.00
2025-08-06,116373.70,98557.02
2025-08-07,114639.91,97806.37
2025-08-08,113007.96,97297.67
2025-08-11,111495.73,97040.82
2025-08-12,110119.78,97040.82
2025-08-13,108895.20,97297.67
2025-08-14,107835.40,97806.37
2025-08-15,106951.99,98557.02
2025-08-18,106254.65,99535.00
2025-08-19,105751.02,100721.29
2025-08-20,105446.62,102092.79
2025-08-21,105344.78,103622.82
2025-08-22,105446.62,105281.58
2025-08-25,105751.02,107036.79
2025-08-26,106254.65,108854.29
2025-08-27,106951.99,110698.70
2025-08-28,107835.40,112534.13
2025-08-29,108895.20,114324.85
2025-09-01,110119.78,116036.01
2025-09-02,111495.73,117634.29
2025-09-03,113007.96,119088.60
2025-09-04,114639.91,120370.61
2025-09-05,116373.70,121455.40
2025-09-08,118190.33,122321.82
2025-09-09,120069.90,122953.04
2025-09-10,121991.83,123336.74
